"ONTOLOGY" "ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"GO:0140546" "BP" "GO:0140546" "defense response to symbiont" "19/92" "265/18723" 3.49923445345088e-17 9.13618304573721e-15 5.44139328885902e-15 "STAT1/TLR3/UNC93B1/FADD/TBK1/IRF9/TRAF3/TICAM1/IRF3/TLR7/CXCL10/DDX58/IFIH1/IFNAR2/IFNG/MAVS/RSAD2/STAT2/MX1" 19
"GO:0032607" "BP" "GO:0032607" "interferon-alpha production" "10/92" "28/18723" 6.05142058026699e-17 1.33689845434821e-14 7.9623955003513e-15 "STAT1/TLR3/TBK1/IRF3/TLR7/DDX58/IFIH1/IL10/MAVS/TLR4" 10
"GO:0032647" "BP" "GO:0032647" "regulation of interferon-alpha production" "10/92" "28/18723" 6.05142058026699e-17 1.33689845434821e-14 7.9623955003513e-15 "STAT1/TLR3/TBK1/IRF3/TLR7/DDX58/IFIH1/IL10/MAVS/TLR4" 10
"GO:0032760" "BP" "GO:0032760" "positive regulation of tumor necrosis factor production" "14/92" "103/18723" 8.24819522691574e-17 1.69205833512157e-14 1.00776821381489e-14 "CCR2/TLR3/IFNGR1/FADD/CCL3/STAT3/TICAM1/CD14/DDX58/IFIH1/IFNG/JAK2/MAVS/TLR4" 14
"GO:0042110" "BP" "GO:0042110" "T cell activation" "23/92" "487/18723" 1.12937797885969e-16 2.16238237019002e-14 1.28788716887509e-14 "IL6R/IL1B/CCR2/IL6ST/DOCK8/RAG1/FADD/STAT3/SLC11A1/ADAM17/CD4/CD8A/CTSL/DPP4/HLA-A/IFNG/IL10/IL18/IL2RA/IL7/MTOR/NLRP3/RSAD2" 23
"GO:1903557" "BP" "GO:1903557" "positive regulation of tumor necrosis factor superfamily cytokine production" "14/92" "107/18723" 1.43523771292589e-16 2.57625169470197e-14 1.53438242335827e-14 "CCR2/TLR3/IFNGR1/FADD/CCL3/STAT3/TICAM1/CD14/DDX58/IFIH1/IFNG/JAK2/MAVS/TLR4" 14
"GO:0032640" "BP" "GO:0032640" "tumor necrosis factor production" "16/92" "181/18723" 4.94854842615111e-16 7.8956839332811e-14 4.70256794882781e-14 "CX3CR1/CCR2/TLR3/IFNGR1/FADD/CCL3/STAT3/TICAM1/CD14/DDX58/IFIH1/IFNG/IL10/JAK2/MAVS/TLR4" 16
"GO:0032680" "BP" "GO:0032680" "regulation of tumor necrosis factor production" "16/92" "181/18723" 4.94854842615111e-16 7.8956839332811e-14 4.70256794882781e-14 "CX3CR1/CCR2/TLR3/IFNGR1/FADD/CCL3/STAT3/TICAM1/CD14/DDX58/IFIH1/IFNG/IL10/JAK2/MAVS/TLR4" 16
"GO:0032727" "BP" "GO:0032727" "positive regulation of interferon-alpha production" "9/92" "22/18723" 5.27542405914398e-16 7.97421994624289e-14 4.74934298953405e-14 "STAT1/TLR3/TBK1/IRF3/TLR7/DDX58/IFIH1/MAVS/TLR4" 9
"GO:0071706" "BP" "GO:0071706" "tumor necrosis factor superfamily cytokine production" "16/92" "186/18723" 7.65003080291543e-16 1.04623278409396e-13 6.23122809761282e-14 "CX3CR1/CCR2/TLR3/IFNGR1/FADD/CCL3/STAT3/TICAM1/CD14/DDX58/IFIH1/IFNG/IL10/JAK2/MAVS/TLR4" 16
"GO:1903555" "BP" "GO:1903555" "regulation of tumor necrosis factor superfamily cytokine production" "16/92" "186/18723" 7.65003080291543e-16 1.04623278409396e-13 6.23122809761282e-14 "CX3CR1/CCR2/TLR3/IFNGR1/FADD/CCL3/STAT3/TICAM1/CD14/DDX58/IFIH1/IFNG/IL10/JAK2/MAVS/TLR4" 16
"GO:0032722" "BP" "GO:0032722" "positive regulation of chemokine production" "12/92" "71/18723" 9.52715208993956e-16 1.21549831483024e-13 7.23935186042789e-14 "IL6R/IL1B/TLR3/TICAM1/TLR7/ADAM17/IFNG/IL18/IL7/MAVS/TLR4/TNF" 12
"GO:0032479" "BP" "GO:0032479" "regulation of type I interferon production" "13/92" "95/18723" 1.01573675334004e-15 1.21549831483024e-13 7.23935186042789e-14 "STAT1/TLR3/TBK1/TRAF3/TICAM1/IRF3/TLR7/CD14/DDX58/IFIH1/IL10/MAVS/TLR4" 13
"GO:0032606" "BP" "GO:0032606" "type I interferon production" "13/92" "95/18723" 1.01573675334004e-15 1.21549831483024e-13 7.23935186042789e-14 "STAT1/TLR3/TBK1/TRAF3/TICAM1/IRF3/TLR7/CD14/DDX58/IFIH1/IL10/MAVS/TLR4" 13
"GO:0002718" "BP" "GO:0002718" "regulation of cytokine production involved in immune response" "13/92" "96/18723" 1.17021079306508e-15 1.34433815907316e-13 8.00670542623476e-14 "IL1B/CCR2/TLR3/TICAM1/DDX58/HLA-A/IL10/IL18/MAVS/NLRP3/RSAD2/TLR4/TNF" 13
"GO:1903131" "BP" "GO:1903131" "mononuclear cell differentiation" "21/92" "426/18723" 1.25182726357403e-15 1.38278765422485e-13 8.23570568140808e-14 "IL6R/IL1B/CCR2/RAG1/FADD/STAT3/ADAM17/CD19/CD4/CD8A/CTSL/IFNG/IL10/IL18/IL2RA/IL7/MTOR/NLRP3/RSAD2/VEGFA/HLA-B" 21
"GO:0002367" "BP" "GO:0002367" "cytokine production involved in immune response" "13/92" "98/18723" 1.54576380084239e-15 1.58551201286405e-13 9.44310592619881e-14 "IL1B/CCR2/TLR3/TICAM1/DDX58/HLA-A/IL10/IL18/MAVS/NLRP3/RSAD2/TLR4/TNF" 13
"GO:0032642" "BP" "GO:0032642" "regulation of chemokine production" "13/92" "98/18723" 1.54576380084239e-15 1.58551201286405e-13 9.44310592619881e-14 "IL6R/IL1B/TLR3/TICAM1/TLR7/ADAM17/IFNG/IL10/IL18/IL7/MAVS/TLR4/TNF" 13
"GO:0032602" "BP" "GO:0032602" "chemokine production" "13/92" "99/18723" 1.77243174421289e-15 1.75531861013083e-13 1.0454452211782e-13 "IL6R/IL1B/TLR3/TICAM1/TLR7/ADAM17/IFNG/IL10/IL18/IL7/MAVS/TLR4/TNF" 13
"GO:0045785" "BP" "GO:0045785" "positive regulation of cell adhesion" "21/92" "437/18723" 2.07952527727635e-15 1.99079886544589e-13 1.18569423704353e-13 "IL1B/CCR2/IL6ST/DOCK8/RAG1/FADD/STK4/CD4/DPP4/HLA-A/IFNG/IL10/IL18/IL2RA/IL7/JAK1/JAK2/NLRP3/NRP1/TNF/VEGFA" 21
"GO:0022409" "BP" "GO:0022409" "positive regulation of cell-cell adhesion" "18/92" "284/18723" 2.26135893274439e-15 2.09503963059416e-13 1.24777869803383e-13 "IL1B/CCR2/IL6ST/DOCK8/RAG1/FADD/CD4/DPP4/HLA-A/IFNG/IL10/IL18/IL2RA/IL7/JAK1/JAK2/NLRP3/TNF" 18
"GO:0002443" "BP" "GO:0002443" "leukocyte mediated immunity" "21/92" "440/18723" 2.38238944409763e-15 2.13819452607763e-13 1.27348119955877e-13 "IL1B/CX3CR1/CCR2/TLR3/FADD/CCL3/TICAM1/ACE/ADAM17/CD19/CD8A/DDX58/HLA-A/IL10/IL18/MAVS/NLRP3/RSAD2/TLR4/TNF/HLA-B" 21
"GO:0032481" "BP" "GO:0032481" "positive regulation of type I interferon production" "11/92" "58/18723" 4.10063372676578e-15 3.46382943037392e-13 2.06301232383727e-13 "STAT1/TLR3/TBK1/TICAM1/IRF3/TLR7/CD14/DDX58/IFIH1/MAVS/TLR4" 11
"GO:0034340" "BP" "GO:0034340" "response to type I interferon" "11/92" "58/18723" 4.10063372676578e-15 3.46382943037392e-13 2.06301232383727e-13 "STAT1/FADD/TBK1/IRF3/IFNAR1/IFNAR2/JAK1/MAVS/STAT2/TYK2/MX1" 11
"GO:0007259" "BP" "GO:0007259" "receptor signaling pathway via JAK-STAT" "15/92" "170/18723" 4.49499857980521e-15 3.6884674060573e-13 2.19680381719803e-13 "IL6R/STAT1/CCR2/IL6ST/STAT3/MST1/IFNAR1/IFNAR2/IFNG/IL10/IL18/JAK1/JAK2/STAT2/TNF" 15
"GO:0030217" "BP" "GO:0030217" "T cell differentiation" "17/92" "257/18723" 7.2202422054404e-15 5.76014878167356e-13 3.4306706385499e-13 "IL6R/IL1B/CCR2/RAG1/FADD/STAT3/ADAM17/CD4/CD8A/CTSL/IFNG/IL18/IL2RA/IL7/MTOR/NLRP3/RSAD2" 17
"GO:0002460" "BP" "GO:0002460" "adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains" "19/92" "356/18723" 8.0529358059221e-15 6.25081936070494e-13 3.72290773389002e-13 "IL6R/IL1B/CCR2/FADD/STAT3/SLC11A1/ADAM17/CD19/CD4/CD8A/HLA-A/IL10/IL18/MTOR/NLRP3/RSAD2/TLR4/TNF/HLA-B" 19
"GO:0032757" "BP" "GO:0032757" "positive regulation of interleukin-8 production" "11/92" "62/18723" 9.00915996382901e-15 6.80902826739919e-13 4.05536978981223e-13 "IL1B/TLR3/FADD/STAT3/TLR7/CD14/DDX58/MAVS/SERPINE1/TLR4/TNF" 11
"GO:0097696" "BP" "GO:0097696" "receptor signaling pathway via STAT" "15/92" "181/18723" 1.14779103645226e-14 8.45245091459201e-13 5.0341712125099e-13 "IL6R/STAT1/CCR2/IL6ST/STAT3/MST1/IFNAR1/IFNAR2/IFNG/IL10/IL18/JAK1/JAK2/STAT2/TNF" 15
"GO:0050900" "BP" "GO:0050900" "leukocyte migration" "19/92" "369/18723" 1.54256600312943e-14 1.10756239024693e-12 6.59649935548768e-13 "IL6R/CX3CR1/CCR2/CCR5/DOCK8/FADD/CCL3/ADAM17/CXCL1/CXCL10/CXCL5/CXCL8/DPP4/IL10/NLRP3/SERPINE1/TNF/VEGFA/MAPK3" 19
"GO:0002703" "BP" "GO:0002703" "regulation of leukocyte mediated immunity" "16/92" "226/18723" 1.66890060917564e-14 1.16904452428108e-12 6.96267904983418e-13 "IL1B/CX3CR1/CCR2/TLR3/FADD/TICAM1/DDX58/HLA-A/IL10/IL18/MAVS/NLRP3/RSAD2/TLR4/TNF/HLA-B" 16
"GO:0030098" "BP" "GO:0030098" "lymphocyte differentiation" "19/92" "374/18723" 1.96744476090767e-14 1.34535746507782e-12 8.01277628189213e-13 "IL6R/IL1B/CCR2/RAG1/FADD/STAT3/ADAM17/CD19/CD4/CD8A/CTSL/IFNG/IL10/IL18/IL2RA/IL7/MTOR/NLRP3/RSAD2" 19
"GO:0031349" "BP" "GO:0031349" "positive regulation of defense response" "17/92" "278/18723" 2.64013564102134e-14 1.76336501418914e-12 1.05023755609784e-12 "IL1B/CCR2/TLR3/IL6ST/FADD/TBK1/CCL3/IRF3/TLR7/IFNG/IL18/JAK2/MAVS/SERPINE1/TLR4/TNF/MAPK3" 17
"GO:0032755" "BP" "GO:0032755" "positive regulation of interleukin-6 production" "12/92" "93/18723" 2.84124231234894e-14 1.85455634569685e-12 1.10454994200168e-12 "IL6R/IL1B/TLR3/STAT3/TICAM1/TLR7/DDX58/IFIH1/IFNG/MAVS/TLR4/TNF" 12
"GO:0022407" "BP" "GO:0022407" "regulation of cell-cell adhesion" "20/92" "448/18723" 4.2482721739883e-14 2.70869347211703e-12 1.61326304507776e-12 "IL1B/IL1RN/CCR2/IL6ST/DOCK8/RAG1/FADD/CD4/DPP4/HLA-A/IFNG/IL10/IL18/IL2RA/IL7/JAK1/JAK2/NLRP3/TNF/VEGFA" 20
"GO:0060337" "BP" "GO:0060337" "type I interferon signaling pathway" "10/92" "50/18723" 4.33843661968605e-14 2.70869347211703e-12 1.61326304507776e-12 "STAT1/FADD/TBK1/IRF3/IFNAR1/IFNAR2/JAK1/MAVS/STAT2/TYK2" 10
"GO:0032729" "BP" "GO:0032729" "positive regulation of interferon-gamma production" "11/92" "72/18723" 5.14797888843734e-14 3.14574369523235e-12 1.87356454506398e-12 "IL1B/CCR2/TLR3/FADD/TLR7/SLC11A1/CD14/HLA-A/IL18/TLR4/TNF" 11
"GO:0071357" "BP" "GO:0071357" "cellular response to type I interferon" "10/92" "52/18723" 6.62833509414575e-14 3.8954943858718e-12 2.32010642759188e-12 "STAT1/FADD/TBK1/IRF3/IFNAR1/IFNAR2/JAK1/MAVS/STAT2/TYK2" 10
"GO:0032635" "BP" "GO:0032635" "interleukin-6 production" "14/92" "165/18723" 6.78184955757626e-14 3.8954943858718e-12 2.32010642759188e-12 "IL6R/IL1B/TLR3/STAT3/TICAM1/TLR7/DDX58/IFIH1/IFNG/IL10/MAVS/TLR4/TNF/HLA-B" 14
"GO:0032675" "BP" "GO:0032675" "regulation of interleukin-6 production" "14/92" "165/18723" 6.78184955757626e-14 3.8954943858718e-12 2.32010642759188e-12 "IL6R/IL1B/TLR3/STAT3/TICAM1/TLR7/DDX58/IFIH1/IFNG/IL10/MAVS/TLR4/TNF/HLA-B" 14
"GO:0032677" "BP" "GO:0032677" "regulation of interleukin-8 production" "12/92" "102/18723" 8.89144343291041e-14 5.00710304692524e-12 2.98216627006799e-12 "IL1B/TLR3/FADD/STAT3/TLR7/CD14/DDX58/IL10/MAVS/SERPINE1/TLR4/TNF" 12
"GO:0032637" "BP" "GO:0032637" "interleukin-8 production" "12/92" "103/18723" 1.00241315040055e-13 5.53640493836611e-12 3.29741167894918e-12 "IL1B/TLR3/FADD/STAT3/TLR7/CD14/DDX58/IL10/MAVS/SERPINE1/TLR4/TNF" 12
"GO:0002687" "BP" "GO:0002687" "positive regulation of leukocyte migration" "13/92" "135/18723" 1.08780555764053e-13 5.89467464442191e-12 3.51079251472863e-12 "IL6R/CX3CR1/CCR2/DOCK8/FADD/CCL3/ADAM17/CXCL10/CXCL8/SERPINE1/TNF/VEGFA/MAPK3" 13
"GO:0032608" "BP" "GO:0032608" "interferon-beta production" "10/92" "56/18723" 1.46823195113528e-13 7.66684029756457e-12 4.5662716183633e-12 "TLR3/TBK1/TRAF3/TICAM1/IRF3/TLR7/DDX58/IFIH1/MAVS/TLR4" 10
"GO:0032648" "BP" "GO:0032648" "regulation of interferon-beta production" "10/92" "56/18723" 1.46823195113528e-13 7.66684029756457e-12 4.5662716183633e-12 "TLR3/TBK1/TRAF3/TICAM1/IRF3/TLR7/DDX58/IFIH1/MAVS/TLR4" 10
"GO:0050867" "BP" "GO:0050867" "positive regulation of cell activation" "19/92" "420/18723" 1.57818249519649e-13 8.09382165393629e-12 4.82057623062838e-12 "IL1B/CCR2/IL6ST/DOCK8/RAG1/FADD/CCL3/TICAM1/CD4/DPP4/HLA-A/IFNG/IL10/IL18/IL2RA/IL7/JAK2/NLRP3/TLR4" 19
"GO:1903706" "BP" "GO:1903706" "regulation of hemopoiesis" "18/92" "367/18723" 1.89030586043241e-13 9.52448847572257e-12 5.67266301607139e-12 "STAT1/CCR2/TLR3/RAG1/FADD/CCL3/STAT3/CD4/IFNG/IL10/IL18/IL2RA/IL7/MTOR/NLRP3/TLR4/TNF/HLA-B" 18
"GO:0032728" "BP" "GO:0032728" "positive regulation of interferon-beta production" "9/92" "39/18723" 2.09972213479989e-13 1.03972447778367e-11 6.19246546107047e-12 "TLR3/TBK1/TICAM1/IRF3/TLR7/DDX58/IFIH1/MAVS/TLR4" 9
"GO:0070661" "BP" "GO:0070661" "leukocyte proliferation" "17/92" "318/18723" 2.37282816919595e-13 1.15504449185267e-11 6.87929665467158e-12 "IL1B/CCR2/IL6ST/DOCK8/FADD/TBK1/TICAM1/SLC11A1/ACE/CD19/HLA-A/IL10/IL18/IL2RA/IL7/TLR4/MAPK3" 17
"GO:0002821" "BP" "GO:0002821" "positive regulation of adaptive immune response" "12/92" "112/18723" 2.79397467787878e-13 1.29424117336578e-11 7.70833421316301e-12 "IL1B/CCR2/IL6ST/FADD/SLC11A1/CD4/HLA-A/IL18/NLRP3/RSAD2/TNF/HLA-B" 12
"GO:0032609" "BP" "GO:0032609" "interferon-gamma production" "12/92" "112/18723" 2.79397467787878e-13 1.29424117336578e-11 7.70833421316301e-12 "IL1B/CCR2/TLR3/FADD/TLR7/SLC11A1/CD14/HLA-A/IL10/IL18/TLR4/TNF" 12
"GO:0032649" "BP" "GO:0032649" "regulation of interferon-gamma production" "12/92" "112/18723" 2.79397467787878e-13 1.29424117336578e-11 7.70833421316301e-12 "IL1B/CCR2/TLR3/FADD/TLR7/SLC11A1/CD14/HLA-A/IL10/IL18/TLR4/TNF" 12
"GO:0030595" "BP" "GO:0030595" "leukocyte chemotaxis" "15/92" "230/18723" 3.92798401730609e-13 1.79066192027033e-11 1.06649524279405e-11 "IL6R/CX3CR1/CCR2/CCR5/CCL3/ADAM17/CXCL1/CXCL10/CXCL5/CXCL8/DPP4/IL10/SERPINE1/VEGFA/MAPK3" 15
"GO:1902105" "BP" "GO:1902105" "regulation of leukocyte differentiation" "16/92" "279/18723" 4.39668471498523e-13 1.96858759921766e-11 1.17246549213044e-11 "CCR2/TLR3/RAG1/FADD/CCL3/CD4/IFNG/IL10/IL18/IL2RA/IL7/MTOR/NLRP3/TLR4/TNF/HLA-B" 16
"GO:0050727" "BP" "GO:0050727" "regulation of inflammatory response" "18/92" "386/18723" 4.45536887009569e-13 1.96858759921766e-11 1.17246549213044e-11 "IL1B/CCR2/TLR3/IL6ST/CCL3/IRF3/TLR7/FURIN/IFNG/IL10/IL18/IL2RA/JAK2/NFKB1/NLRP3/SERPINE1/TLR4/TNF" 18
"GO:0002699" "BP" "GO:0002699" "positive regulation of immune effector process" "15/92" "235/18723" 5.37297075780533e-13 2.33805636612377e-11 1.39251634472626e-11 "IL1B/CCR2/FADD/TICAM1/DDX58/HLA-A/IFNG/IL10/IL18/MAVS/NLRP3/RSAD2/TLR4/TNF/HLA-B" 15
"GO:0002697" "BP" "GO:0002697" "regulation of immune effector process" "17/92" "339/18723" 6.67255237719209e-13 2.86023439213368e-11 1.70351887084637e-11 "IL1B/CX3CR1/CCR2/TLR3/FADD/TICAM1/DDX58/HLA-A/IFNG/IL10/IL18/MAVS/NLRP3/RSAD2/TLR4/TNF/HLA-B" 17
"GO:1903039" "BP" "GO:1903039" "positive regulation of leukocyte cell-cell adhesion" "15/92" "239/18723" 6.86726930872236e-13 2.9004113903898e-11 1.72744777502691e-11 "IL1B/CCR2/IL6ST/DOCK8/RAG1/FADD/CD4/DPP4/HLA-A/IFNG/IL18/IL2RA/IL7/NLRP3/TNF" 15
"GO:0032943" "BP" "GO:0032943" "mononuclear cell proliferation" "16/92" "291/18723" 8.38645079121693e-13 3.49070821338768e-11 2.07902098180435e-11 "IL1B/CCR2/IL6ST/DOCK8/FADD/TBK1/TICAM1/SLC11A1/ACE/CD19/HLA-A/IL10/IL18/IL2RA/IL7/TLR4" 16
"GO:0002696" "BP" "GO:0002696" "positive regulation of leukocyte activation" "18/92" "409/18723" 1.18366623872739e-12 4.85641348232152e-11 2.89241750064964e-11 "IL1B/CCR2/IL6ST/DOCK8/RAG1/FADD/CCL3/TICAM1/CD4/DPP4/HLA-A/IFNG/IL10/IL18/IL2RA/IL7/NLRP3/TLR4" 18
"GO:0002700" "BP" "GO:0002700" "regulation of production of molecular mediator of immune response" "13/92" "164/18723" 1.3568989280602e-12 5.48875172026605e-11 3.26903003424437e-11 "IL1B/CCR2/TLR3/TICAM1/DDX58/HLA-A/IL10/IL18/MAVS/NLRP3/RSAD2/TLR4/TNF" 13
"GO:0002685" "BP" "GO:0002685" "regulation of leukocyte migration" "14/92" "210/18723" 1.88363838529108e-12 7.51362422577219e-11 4.47501809371053e-11 "IL6R/CX3CR1/CCR2/DOCK8/FADD/CCL3/ADAM17/CXCL10/CXCL8/DPP4/SERPINE1/TNF/VEGFA/MAPK3" 14
"GO:0051251" "BP" "GO:0051251" "positive regulation of lymphocyte activation" "17/92" "362/18723" 1.91422161773723e-12 7.53101984402923e-11 4.48537870053786e-11 "IL1B/CCR2/IL6ST/DOCK8/RAG1/FADD/TICAM1/CD4/DPP4/HLA-A/IFNG/IL10/IL18/IL2RA/IL7/NLRP3/TLR4" 17
"GO:0060326" "BP" "GO:0060326" "cell chemotaxis" "16/92" "310/18723" 2.20042499403304e-12 8.5400278146796e-11 5.08633088947894e-11 "IL6R/CX3CR1/CCR2/CCR5/CCL3/ADAM17/CXCL1/CXCL10/CXCL5/CXCL8/DPP4/IL10/NRP1/SERPINE1/VEGFA/MAPK3" 16
"GO:0050870" "BP" "GO:0050870" "positive regulation of T cell activation" "14/92" "216/18723" 2.76385873385456e-12 1.05837363781737e-10 6.30353746317706e-11 "IL1B/CCR2/IL6ST/DOCK8/RAG1/FADD/CD4/DPP4/HLA-A/IFNG/IL18/IL2RA/IL7/NLRP3" 14
"GO:0007159" "BP" "GO:0007159" "leukocyte cell-cell adhesion" "17/92" "371/18723" 2.83371639380766e-12 1.07084651092311e-10 6.37782429354218e-11 "IL1B/CX3CR1/CCR2/IL6ST/DOCK8/RAG1/FADD/CD4/DPP4/HLA-A/IFNG/IL10/IL18/IL2RA/IL7/NLRP3/TNF" 17
"GO:0042116" "BP" "GO:0042116" "macrophage activation" "11/92" "106/18723" 4.13555376293172e-12 1.5425078450831e-10 9.18697862578817e-11 "CX3CR1/TLR3/IFNGR1/CCL3/TICAM1/SLC11A1/IFNG/IL10/JAK2/TLR4/TNF" 11
"GO:0002274" "BP" "GO:0002274" "myeloid leukocyte activation" "14/92" "223/18723" 4.26080544998058e-12 1.56885041696721e-10 9.34387160083461e-11 "CX3CR1/CCR2/TLR3/IFNGR1/CCL3/TICAM1/SLC11A1/CXCL8/IFNG/IL10/IL18/JAK2/TLR4/TNF" 14
"GO:0002824" "BP" "GO:0002824" "positive regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains" "11/92" "107/18723" 4.5910930974893e-12 1.66906574379611e-10 9.9407412170821e-11 "IL1B/CCR2/FADD/SLC11A1/CD4/HLA-A/IL18/NLRP3/RSAD2/TNF/HLA-B" 11
"GO:0050729" "BP" "GO:0050729" "positive regulation of inflammatory response" "12/92" "142/18723" 4.88675132220312e-12 1.75434372467092e-10 1.04486459191843e-10 "IL1B/CCR2/TLR3/IL6ST/CCL3/TLR7/IFNG/IL18/JAK2/SERPINE1/TLR4/TNF" 12
"GO:0002819" "BP" "GO:0002819" "regulation of adaptive immune response" "13/92" "183/18723" 5.51332779025002e-12 1.95484906340717e-10 1.16428299664149e-10 "IL1B/CCR2/IL6ST/FADD/SLC11A1/CD4/HLA-A/IL10/IL18/NLRP3/RSAD2/TNF/HLA-B" 13
"GO:1903037" "BP" "GO:1903037" "regulation of leukocyte cell-cell adhesion" "16/92" "336/18723" 7.44468376369422e-12 2.60745509382071e-10 1.55296676713776e-10 "IL1B/CCR2/IL6ST/DOCK8/RAG1/FADD/CD4/DPP4/HLA-A/IFNG/IL10/IL18/IL2RA/IL7/NLRP3/TNF" 16
"GO:0060760" "BP" "GO:0060760" "positive regulation of response to cytokine stimulus" "9/92" "57/18723" 8.2946126183519e-12 2.87013583613333e-10 1.70941604373137e-10 "FADD/TBK1/IRF3/ADAM17/DDX58/IFIH1/IL7/MAVS/TLR4" 9
"GO:0046651" "BP" "GO:0046651" "lymphocyte proliferation" "15/92" "288/18723" 1.00564313511627e-11 3.43834176673088e-10 2.04783219870168e-10 "IL1B/CCR2/IL6ST/DOCK8/FADD/TBK1/TICAM1/SLC11A1/CD19/HLA-A/IL10/IL18/IL2RA/IL7/TLR4" 15
